x,y
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,2
14,2
15,2
16,2
17,3
18,3
19,7
20,7
21,14
22,18
23,27
24,29
25,34
26,41
27,48
28,58
29,62
30,79
31,98
32,120
33,145
34,172
35,180
36,191
37,220
38,242
39,272
40,297
41,315
42,333
43,355
44,369
45,388
46,403
47,421
48,456
49,474
50,507
51,520
52,537
53,560
54,576
55,576
56,576
57,663
58,871
59,883
60,900
61,1063
62,1371
63,1564
64,1569
